serial,brand,gender,price,total_sale,seller_reviews,year,volume
942,Steinhart,Men's watch/Unisex,61875.0,411.0,270.0,2020-01-01,Low Sale
945,NOMOS,Men's watch/Unisex,124657.5,1756.0,1311.0,2016-01-01,Medium Sale
946,A. Lange & Söhne,Men's watch/Unisex,19795875.0,3087.0,2339.0,2024-01-01,High Sale
947,Meistersinger,Men's watch/Unisex,71280.0,1326.0,946.0,2024-01-01,Medium Sale
950,Omega,Men's watch/Unisex,616192.5,407.0,308.0,2024-01-01,Low Sale
952,Alpina,Men's watch/Unisex,59647.5,14642.0,448.0,2022-01-01,High Sale
953,Louis Erard,Men's watch/Unisex,159967.5,433.0,274.0,1931-01-01,Low Sale
954,Roger Dubuis,Men's watch/Unisex,4677750.0,239.0,188.0,2010-01-01,Low Sale
963,NOMOS,Men's watch/Unisex,106755.0,294.0,212.0,2005-01-01,Low Sale
964,Sevenfriday,Men's watch/Unisex,467940.0,936.0,670.0,2024-01-01,Medium Sale
972,Armand Nicolet,Men's watch/Unisex,66825.0,14642.0,448.0,2024-01-01,High Sale
973,KHS,Men's watch/Unisex,9735.0,1606.0,1187.0,2024-01-01,Medium Sale
975,Vacheron Constantin,Men's watch/Unisex,2928750.0,544.0,399.0,2023-01-01,Low Sale
977,Raymond Weil,Men's watch/Unisex,181087.5,3087.0,2339.0,2024-01-01,High Sale
981,Zeppelin,Men's watch/Unisex,26647.5,2328.0,1742.0,2024-01-01,Medium Sale
982,Lip,Men's watch/Unisex,28545.0,14642.0,448.0,2024-01-01,High Sale
992,Atlantic,Men's watch/Unisex,8910.0,14642.0,448.0,2020-01-01,High Sale
995,Bulgari,Men's watch/Unisex,660000.0,1604.0,1147.0,2019-01-01,Medium Sale
1001,Venezianico,Women's watch,43395.0,1230.0,932.0,2024-01-01,Medium Sale
1003,Hamilton,Men's watch/Unisex,71610.0,2264.0,1329.0,2022-01-01,Medium Sale
1007,Bifora,Men's watch/Unisex,12457.5,14642.0,448.0,1958-01-01,High Sale
1011,Bulova,Men's watch/Unisex,47437.5,2264.0,1329.0,2020-01-01,Medium Sale
1013,Baume & Mercier,Women's watch,57750.0,228.0,156.0,2021-01-01,Low Sale
1016,Bruno Söhnle,Men's watch/Unisex,98422.5,218.0,199.0,2012-01-01,Low Sale
1019,Ulysse Nardin,Men's watch/Unisex,779625.0,3088.0,2340.0,2024-01-01,High Sale
